est,n_cells,mean_abs_bias,mean_RMSE,mean_MAE,mean_coverage
FE,108,0.06015439062860662,0.0794086050600118,0.07150716822322088,0.5067226446979298
SPJ,108,0.01719644466397482,0.06160160796989697,0.050851035240033426,0.7522729193071398
HPJ,108,0.05965654598840693,0.10432206436159629,0.08818432802387462,0.38739226869455
DB,108,0.02377005784073133,0.05534750987367741,0.04622313433559943,0.6914142374313477
CDOLS,108,-0.03096203767911698,0.06180729582473143,0.05103102169873166,0.6208650190114068
