app,est,h,beta,se,lo,hi
RR_UNEMP,FE,4,0.2927342755451017,0.0663480249297815,0.1626921466827299,0.4227764044074735
RR_UNEMP,FE,5,0.2988404669178492,0.078543251113838,0.1448956947347267,0.4527852391009717
RR_UNEMP,FE,6,0.3011301539690277,0.0767066284584947,0.150785162190378,0.4514751457476773
RR_UNEMP,FE,7,0.3039962828175608,0.069055657789542,0.1686471935500585,0.4393453720850631
RR_UNEMP,FE,8,0.2788693704444592,0.0704589308212275,0.1407698660348531,0.4169688748540653
RR_UNEMP,FE,9,0.2488517020361942,0.0709349385378324,0.1098192225020426,0.3878841815703459
RR_UNEMP,FE,10,0.1921184620880666,0.0657662659962843,0.0632165807353494,0.3210203434407839
RR_UNEMP,SPJ,0,0.0566135980635724,0.0188792420063697,0.0196102837310878,0.0936169123960571
RR_UNEMP,SPJ,1,0.1535530772354119,0.0376324706355696,0.0797934347896954,0.2273127196811283
RR_UNEMP,SPJ,2,0.2136777572446603,0.0515264301990315,0.1126859540545585,0.3146695604347621
RR_UNEMP,SPJ,3,0.2650046407083799,0.0731142652613178,0.1217006807961969,0.4083086006205628
RR_UNEMP,SPJ,4,0.3315320154690286,0.0979931512971475,0.1394654389266194,0.5235985920114379
RR_UNEMP,SPJ,5,0.3529157557921679,0.114718300410226,0.1280678869881248,0.577763624596211
RR_UNEMP,SPJ,6,0.361472693502342,0.1117568308351779,0.1424293050653932,0.5805160819392909
RR_UNEMP,SPJ,7,0.3759866388928763,0.0975443599826385,0.1847996933269048,0.5671735844588478
RR_UNEMP,SPJ,8,0.3487977509806074,0.0816708387451198,0.1887229070401725,0.5088725949210423
RR_UNEMP,SPJ,9,0.3224989287151089,0.0734872045300612,0.1784640078361888,0.466533849594029
RR_UNEMP,SPJ,10,0.2371558777286213,0.0613608938169688,0.1168885258473625,0.3574232296098802
RR_UNEMP,HPJ,0,0.0789938229837734,0.0155601413231583,0.0484959459903831,0.1094916999771637
RR_UNEMP,HPJ,1,0.1840913858729743,0.0288881944963848,0.12747052466006,0.2407122470858885
RR_UNEMP,HPJ,2,0.2537551801272941,0.0364927601719996,0.1822293701901748,0.3252809900644133
RR_UNEMP,HPJ,3,0.2635405705403603,0.0479859539499894,0.169488100798381,0.3575930402823395
RR_UNEMP,HPJ,4,0.3059011355352218,0.0663480249297816,0.1758590066728498,0.4359432643975938
RR_UNEMP,HPJ,5,0.2078739101516308,0.078543251113838,0.0539291379685082,0.3618186823347535
RR_UNEMP,HPJ,6,0.0909750577092827,0.0767066284584946,-0.0593699340693667,0.2413200494879322
RR_UNEMP,HPJ,7,0.0917907759438498,0.069055657789542,-0.0435583133236526,0.2271398652113522
RR_UNEMP,HPJ,8,0.029477971975571,0.0704589308212275,-0.108621532434035,0.1675774763851771
RR_UNEMP,HPJ,9,0.0307886917272111,0.0709349385378324,-0.1082437878069405,0.1698211712613628
RR_UNEMP,HPJ,10,-0.0707329105907118,0.0657662659962842,-0.1996347919434288,0.0581689707620052
RR_UNEMP,DB,0,0.0641772119543969,0.0155601413231583,0.0336793349610066,0.0946750889477872
RR_UNEMP,DB,1,0.1543912262539816,0.0288881944963848,0.0977703650410673,0.211012087466896
RR_UNEMP,DB,2,0.2037156347852295,0.0364927601719996,0.1321898248481103,0.2752414447223488
