app,h,D_h,fe,spj,hpj,db,cdols,argmax
RR,0,0.4293429126669227,-0.2931046768681076,-0.309751680486323,-0.4293429126669227,-0.2931046768681076,-0.0,HPJ
RR,1,0.546535986253071,-0.3917005195060017,-0.420092630604014,-0.567450603110443,-0.3917005195060017,-0.0209146168573721,HPJ
RR,2,0.5076525287143882,-0.4388801178963323,-0.4698446861260315,-0.2477372671840892,-0.4388801178963323,0.0378078425883567,SPJ
RR,3,0.7813817837708135,-0.5678001080375374,-0.647331068655231,-0.072891799535207,-0.5678001080375374,0.1340507151155824,SPJ
RR,4,0.9891897627069959,-0.6202325896986568,-0.7379552969994188,0.0764764334848012,-0.6202325896986568,0.2512344657075772,SPJ
RR,5,1.1103460331286523,-0.6249765464191924,-0.7434702978207262,0.2390472179929846,-0.6249765464191924,0.3668757353079262,SPJ
RR,6,1.2695557247451421,-0.6777130713875498,-0.7903455864338156,0.4403465053852046,-0.6777130713875498,0.4792101383113265,SPJ
RR,7,1.4862498178805408,-0.7760240034999673,-0.8977932733781449,0.5533385332809713,-0.7760240034999673,0.5884565445023959,SPJ
RR,8,1.7359407487156076,-0.7083039608907751,-0.8636896509437959,0.8722510977718115,-0.7083039608907751,0.7395804893968464,HPJ
RR,9,1.6243375942873484,-0.6010579395118231,-0.721648644102594,0.8361157410086085,-0.6010579395118231,0.9026889501847544,CDOLS
RR,10,1.8091780198027547,-0.5591572374877487,-0.7154322689345111,1.0937457508682435,-0.5591572374877487,1.085667108078835,HPJ
RR_UNEMP,0,0.0789938229837734,0.0641772119543969,0.0566135980635724,0.0789938229837734,0.0641772119543969,-0.0,HPJ
RR_UNEMP,1,0.0833895417530416,0.1543912262539816,0.1535530772354119,0.1840913858729743,0.1543912262539816,0.1007018441199327,HPJ
RR_UNEMP,2,0.09464050111598918,0.2037156347852295,0.2136777572446603,0.2537551801272941,0.2037156347852295,0.1591146790113049,HPJ
RR_UNEMP,3,0.07976985029095862,0.2471458598306555,0.2650046407083799,0.2635405705403603,0.2471458598306555,0.1852347904174213,SPJ
RR_UNEMP,4,0.1416973126185691,0.2927342755451017,0.3315320154690286,0.3059011355352218,0.2927342755451017,0.1898347028504595,SPJ
RR_UNEMP,5,0.1700225861557041,0.2988404669178492,0.3529157557921679,0.2078739101516308,0.2988404669178492,0.1828931696364638,SPJ
RR_UNEMP,6,0.2704976357930593,0.3011301539690277,0.361472693502342,0.0909750577092827,0.3011301539690277,0.1724301361375479,SPJ
RR_UNEMP,7,0.28419586294902655,0.3039962828175608,0.3759866388928763,0.0917907759438498,0.3039962828175608,0.1855933935544211,SPJ
RR_UNEMP,8,0.3193197790050364,0.2788693704444592,0.3487977509806074,0.029477971975571,0.2788693704444592,0.1854427489359364,SPJ
RR_UNEMP,9,0.2917102369878978,0.2488517020361942,0.3224989287151089,0.0307886917272111,0.2488517020361942,0.1694482628291546,SPJ
RR_UNEMP,10,0.3078887883193331,0.1921184620880666,0.2371558777286213,-0.0707329105907118,0.1921184620880666,0.1379297548843006,SPJ
BVX,1,2.9640922249792485,-2.6458995478818146,-2.8506264125924403,-3.1842384186800747,-2.6458995478818146,-0.2201461937008264,HPJ
BVX,2,6.889698233172246,-2.8876725588402423,-3.3338840587445238,-4.611481800553894,-2.8876725588402423,2.2782164326183523,HPJ
BVX,3,7.417658014829798,-3.379288257739824,-3.858172653590327,-5.796667005508327,-3.379288257739824,1.6209910093214706,HPJ
BVX,4,7.892566575539592,-3.421739514046299,-4.213259334339428,-5.671628710858902,-3.421739514046299,2.2209378646806908,HPJ
BVX,5,7.80420605856219,-2.737894516226933,-3.756247731690536,-5.139171190901195,-2.737894516226933,2.6650348676609963,HPJ
BVX,6,6.150429557439097,-2.123194641517174,-2.987041100508189,-3.5360137668351515,-2.123194641517174,2.6144157906039456,HPJ
MSV,1,0.1991710356893118,0.2103706962060566,0.2027477226345936,0.4019187583239054,0.2103706962060566,,HPJ
