cell,N,T,rho,sig_lam,est,D_I,bias_hmean,coverage_hmean,rmse_hmean,grade
main_N100_T100_rho0.95_xsd1,100,100,0.95,1.0,FE,0.07097295358037047,0.06894703286979938,0.3339393939393939,0.09172297755957201,poor
main_N100_T100_rho0.95_xsd1,100,100,0.95,1.0,HPJ,0.07431250165101642,0.06991379853963867,0.2957575757575758,0.09831048762907817,poor
main_N100_T100_rho0.95_xsd1,100,100,0.95,1.0,SPJ,0.048861660365759736,0.002127989649854709,0.6209090909090909,0.06859260726555087,poor
main_N100_T20_rho0.2_xsd0,100,20,0.2,0.0,CDOLS,0.03637094378252711,-0.023289864125526586,0.895238095238095,0.045519092233615756,moderate
main_N100_T20_rho0.2_xsd0,100,20,0.2,0.0,DB,0.024383579163453156,0.00643094040932843,0.9276190476190477,0.030563117391877434,good
main_N100_T20_rho0.2_xsd0,100,20,0.2,0.0,FE,0.04152805059573094,0.03699847540768364,0.689047619047619,0.04985980401399818,poor
main_N100_T20_rho0.2_xsd0,100,20,0.2,0.0,HPJ,0.069566887906659,0.03452479703929733,0.45904761904761904,0.08778359776510275,poor
main_N100_T20_rho0.2_xsd0,100,20,0.2,0.0,SPJ,0.032996968073877496,0.018962232091712713,0.8661904761904762,0.04251075077652813,moderate
main_N100_T20_rho0.2_xsd1,100,20,0.2,1.0,CDOLS,0.05787473677706166,-0.013566550786964742,0.6195238095238096,0.07458915759415884,poor
main_N100_T20_rho0.2_xsd1,100,20,0.2,1.0,DB,0.05491285636747118,0.009309880820456256,0.6809523809523811,0.07155905435853312,poor
main_N100_T20_rho0.2_xsd1,100,20,0.2,1.0,FE,0.06429220599487417,0.039828471840397214,0.5947619047619047,0.08248283676173193,poor
main_N100_T20_rho0.2_xsd1,100,20,0.2,1.0,HPJ,0.08364849430073217,0.04089754111276705,0.4657142857142857,0.10549931530628791,poor
main_N100_T20_rho0.2_xsd1,100,20,0.2,1.0,SPJ,0.06489880798022596,0.022142528639878357,0.6614285714285714,0.08636464338675838,poor
main_N100_T20_rho0.5_xsd0,100,20,0.5,0.0,CDOLS,0.0413006611754679,-0.03064613550781014,0.858095238095238,0.05127318806604752,moderate
main_N100_T20_rho0.5_xsd0,100,20,0.5,0.0,DB,0.029024795402745558,0.019202488360969716,0.839047619047619,0.036814811828764185,poor
main_N100_T20_rho0.5_xsd0,100,20,0.5,0.0,FE,0.07179344415625896,0.06916603340672058,0.3019047619047619,0.08149285283946678,poor
main_N100_T20_rho0.5_xsd0,100,20,0.5,0.0,HPJ,0.08458919005266663,0.06589145245979071,0.36238095238095236,0.10555492534221587,poor
