shock,label,h,est,beta,se,t,lo,hi
GPR_x_exp,GPR x exposure (identified interaction),2,HPJ,0.017262057243423987,0.011689900745628864,1.4766641410431725,-0.0056501482180085875,0.040174262704856564
GPR_x_exp,GPR x exposure (identified interaction),2,CDOLS,0.004655846500306605,0.0042135514797160215,1.1049696491712004,-0.003602714399936797,0.012914407400550007
GPR_x_exp,GPR x exposure (identified interaction),2,DB,0.04882344635472874,0.011689900745628864,4.176549263943494,0.025911240893296165,0.07173565181616132
GPR_x_exp,GPR x exposure (identified interaction),3,FE,0.05479417480693501,0.013730331133943325,3.9907395001913715,0.027882725784406096,0.08170562382946393
GPR_x_exp,GPR x exposure (identified interaction),3,SPJ,0.08934881814878229,0.011965501343305257,7.467202216209126,0.06589643551590399,0.11280120078166059
GPR_x_exp,GPR x exposure (identified interaction),3,HPJ,0.022065421332285232,0.013730331133943324,1.60705675027286,-0.004846027690243681,0.04897687035481414
GPR_x_exp,GPR x exposure (identified interaction),3,CDOLS,0.0045163852895031805,0.004059035557768022,1.1126744827006751,-0.003439324403722142,0.012472094982728502
GPR_x_exp,GPR x exposure (identified interaction),3,DB,0.061796931031659404,0.013730331133943325,4.500760428048864,0.034885482009130483,0.08870838005418832
GPR_x_cris,GPR x crisis-history (identified interaction),1,FE,-0.0743721424566201,0.024132015504724696,-3.081886900083382,-0.12167089284588051,-0.027073392067359703
GPR_x_cris,GPR x crisis-history (identified interaction),1,SPJ,-0.08716109945876115,0.018453220987492646,-4.723354232729224,-0.12332941259424673,-0.05099278632327556
GPR_x_cris,GPR x crisis-history (identified interaction),1,HPJ,0.05862889235425214,0.024132015504724696,2.4295066586035245,0.011330141964991741,0.10592764274351255
GPR_x_cris,GPR x crisis-history (identified interaction),1,CDOLS,0.10595112338019079,0.009466868526839796,11.191781430132432,0.0873960610675848,0.12450618569279678
GPR_x_cris,GPR x crisis-history (identified interaction),1,DB,-0.0743721424566201,0.024132015504724696,-3.081886900083382,-0.12167089284588051,-0.027073392067359703
GPR_x_cris,GPR x crisis-history (identified interaction),2,FE,-0.10166077207224822,0.03500957716737123,-2.9037989115445706,-0.17027954332029582,-0.03304200082420061
GPR_x_cris,GPR x crisis-history (identified interaction),2,SPJ,-0.16397285277967716,0.030429706133524487,-5.3885782550830434,-0.22361507680138515,-0.10433062875796917
GPR_x_cris,GPR x crisis-history (identified interaction),2,HPJ,0.11480372802528528,0.03500957716737122,3.2792092139942173,0.04618495677723769,0.18342249927333287
GPR_x_cris,GPR x crisis-history (identified interaction),2,CDOLS,0.10208689817258956,0.008665264782022923,11.781163154342432,0.08510297919982464,0.11907081714535449
GPR_x_cris,GPR x crisis-history (identified interaction),2,DB,-0.11424435925510903,0.03500957716737123,-3.2632316211343526,-0.18286313050315664,-0.04562558800706143
GPR_x_cris,GPR x crisis-history (identified interaction),3,FE,-0.13583121759909864,0.04157104819127545,-3.267447502745568,-0.2173104720539985,-0.05435196314419875
GPR_x_cris,GPR x crisis-history (identified interaction),3,SPJ,-0.24611125147663052,0.03654732931939108,-6.734042023312773,-0.31774401694263704,-0.174478486010624
GPR_x_cris,GPR x crisis-history (identified interaction),3,HPJ,0.09424798329497704,0.04157104819127545,2.2671543633282005,0.012768728840077154,0.17572723774987692
GPR_x_cris,GPR x crisis-history (identified interaction),3,CDOLS,0.10024320325416129,0.008739445623386268,11.470201609346487,0.0831138898323242,0.11737251667599838
GPR_x_cris,GPR x crisis-history (identified interaction),3,DB,-0.15502256096062356,0.04157104819127545,-3.7290991616891263,-0.23650181541552345,-0.07354330650572367
