model,cv_rmse_D_I,cv_rmse_cov,r2_D_I,r2_cov,mae_D_I,mae_cov
ridge_a1,0.02042033028660106,0.0914732724463239,0.8238555810122934,0.8417547013891866,0.013984749510540774,0.06709650314584165
ridge_a100,0.03840235096041644,0.18847743201157446,0.3335822710975632,0.3011337370431912,0.027213896850845645,0.15109491709411715
knn3,0.028372053949910665,0.13433279777391455,0.8324931919248282,0.7970428057494758,0.011569720467416392,0.07028318903318903
knn5,0.026649193595326366,0.11585722067573449,0.8154419623176468,0.8156412710282941,0.013767181711613568,0.07445667388167387
