N,T,rho,sig_lam,lp_alloc,lp_obj,vertex_alloc,vertex_obj,agree
50.0,50.0,0.95,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.43076600122299075,SPJ,0.43076600122299075,True
50.0,50.0,0.95,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.7031612867894891,SPJ,0.7031612867894891,True
50.0,100.0,0.2,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.03336277741311458,SPJ,0.03336277741311458,True
50.0,100.0,0.2,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.169096937371421,SPJ,0.169096937371421,True
50.0,100.0,0.5,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.05521760564029839,DB,0.05521760564029839,True
50.0,100.0,0.5,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.20017475756268377,DB,0.20017475756268377,True
50.0,100.0,0.8,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.21478969872158435,DB,0.21478969872158435,True
50.0,100.0,0.8,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.3865437617844113,DB,0.3865437617844113,True
50.0,100.0,0.95,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.265018926382152,SPJ,0.265018926382152,True
50.0,100.0,0.95,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.48355126471229887,SPJ,0.48355126471229887,True
100.0,20.0,0.2,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.06914548392535794,DB,0.06914548392535794,True
100.0,20.0,0.2,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.5930080944627092,DB,0.5930080944627092,True
100.0,20.0,0.5,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.2509295573075074,DB,0.2509295573075074,True
100.0,20.0,0.5,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.7153409893669185,DB,0.7153409893669185,True
100.0,20.0,0.8,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.8006898732976628,SPJ,0.8006898732976628,True
100.0,20.0,0.8,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,1.132057619430152,SPJ,1.132057619430152,True
100.0,20.0,0.95,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.8951745089211792,SPJ,0.8951745089211792,True
100.0,20.0,0.95,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,1.1501433716917346,SPJ,1.1501433716917346,True
100.0,50.0,0.2,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.024581352671876458,DB,0.024581352671876458,True
100.0,50.0,0.2,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.3479025775278282,SPJ,0.3479025775278282,True
100.0,50.0,0.5,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.06776483138396264,DB,0.06776483138396264,True
100.0,50.0,0.5,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.43931908719171875,DB,0.43931908719171875,True
100.0,50.0,0.8,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.37741404841126563,SPJ,0.37741404841126563,True
100.0,50.0,0.8,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.8045625267153248,DB,0.8045625267153248,True
100.0,50.0,0.95,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.4788802192903345,SPJ,0.4788802192903345,True
100.0,50.0,0.95,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.9457384011602425,SPJ,0.9457384011602425,True
100.0,100.0,0.2,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.0174600818420301,SPJ,0.0174600818420301,True
100.0,100.0,0.2,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.16729794575166773,DB,0.16729794575166773,True
100.0,100.0,0.5,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.06439277315755934,SPJ,0.06439277315755934,True
100.0,100.0,0.5,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.269687062900318,DB,0.269687062900318,True
100.0,100.0,0.8,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.2776552445654589,SPJ,0.2776552445654589,True
100.0,100.0,0.8,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.5399579566692969,DB,0.5399579566692969,True
100.0,100.0,0.95,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.37161653487470825,SPJ,0.37161653487470825,True
100.0,100.0,0.95,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.7070434785475778,SPJ,0.7070434785475778,True
200.0,20.0,0.2,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.0640561911536283,DB,0.0640561911536283,True
200.0,20.0,0.2,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.8216356964511279,DB,0.8216356964511279,True
200.0,20.0,0.5,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.3727204252428977,DB,0.3727204252428977,True
200.0,20.0,0.5,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.9720160528468719,DB,0.9720160528468719,True
200.0,20.0,0.8,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.9117934557971934,SPJ,0.9117934557971934,True
200.0,20.0,0.8,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,1.2864920734184104,SPJ,1.2864920734184104,True
200.0,20.0,0.95,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,1.0393286295506436,SPJ,1.0393286295506436,True
200.0,20.0,0.95,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,1.32641005578756,SPJ,1.32641005578756,True
200.0,50.0,0.2,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.028627603345440344,DB,0.028627603345440344,True
200.0,50.0,0.2,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.6015106691948848,DB,0.6015106691948848,True
200.0,50.0,0.5,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.09251080554963823,DB,0.09251080554963823,True
200.0,50.0,0.5,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.7532122946914345,DB,0.7532122946914345,True
200.0,50.0,0.8,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.497719500672938,SPJ,0.497719500672938,True
200.0,50.0,0.8,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,1.1066594796958478,DB,1.1066594796958478,True
200.0,50.0,0.95,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.6361956525417225,SPJ,0.6361956525417225,True
200.0,50.0,0.95,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,1.1458769900652281,SPJ,1.1458769900652281,True
200.0,100.0,0.2,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.009516625038663375,DB,0.009516625038663375,True
200.0,100.0,0.2,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.35819450788891816,DB,0.35819450788891816,True
200.0,100.0,0.5,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.04527087180042956,DB,0.04527087180042956,True
200.0,100.0,0.5,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.48626716191881336,DB,0.48626716191881336,True
200.0,100.0,0.8,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.25487694521827553,SPJ,0.25487694521827553,True
200.0,100.0,0.8,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.7965721869537631,DB,0.7965721869537631,True
200.0,100.0,0.95,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.35536811354008657,SPJ,0.35536811354008657,True
200.0,100.0,0.95,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.9797426418911662,SPJ,0.9797426418911662,True
