est,h,bias,rmse,mae,coverage,rej_rate,n,cell,N,T,rho,sig_lam,mode
FE,6,0.0853596790214375,0.1124686977451119,0.0943587292881387,0.6688888888888889,0.2666666666666666,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
HPJ,0,-0.0156775964054805,0.1340328850038716,0.1058042685274465,0.5044444444444445,1.0,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
HPJ,1,0.0416616248736447,0.1609264323887367,0.127811505122574,0.4644444444444444,0.8577777777777778,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
HPJ,2,0.0753375778268001,0.1864677229744868,0.1512435532078176,0.4111111111111111,0.5444444444444444,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
HPJ,3,0.0875206241724273,0.2007870752939228,0.1578940629709647,0.4422222222222222,0.5355555555555556,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
HPJ,4,0.0927271477826426,0.2073753963380785,0.1678443300246199,0.4288888888888889,0.5711111111111111,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
HPJ,5,0.0870556570156609,0.2057721664840186,0.1641592139175203,0.4111111111111111,0.5422222222222223,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
HPJ,6,0.0858204946246958,0.2267852588614691,0.1779531822592063,0.4111111111111111,0.5911111111111111,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
SPJ,0,-0.0011241527722355,0.0524304819374865,0.0411651212563473,0.9333333333333332,1.0,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
SPJ,1,-0.0040045474007885,0.0647660636811786,0.0520425965185693,0.9333333333333332,0.9977777777777778,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
SPJ,2,0.0011771885154896,0.0756727882382847,0.0598096900343387,0.9244444444444444,0.5933333333333334,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
SPJ,3,0.0203567844234676,0.0801040016520262,0.0637778407837719,0.9133333333333332,0.1422222222222222,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
SPJ,4,0.03945177658974,0.088104809522076,0.0708906252790682,0.8733333333333333,0.0688888888888888,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
SPJ,5,0.0682522549326336,0.1097398496885684,0.0893124838226715,0.7888888888888889,0.16,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
SPJ,6,0.1027313417896371,0.1361954770907556,0.115470544710864,0.6911111111111111,0.2555555555555555,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
CDOLS,0,-0.0014896101255291,0.074506349982712,0.0601062675127678,0.9222222222222224,0.0777777777777777,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
CDOLS,1,-0.0019085004504447,0.0736111625352045,0.0595006517043968,0.9533333333333334,0.0466666666666666,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
CDOLS,2,-0.0085621585773957,0.0762745410472468,0.0614527289396839,0.92,0.08,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
CDOLS,3,-0.0036945095849372,0.0771001839174895,0.0602945798256285,0.9288888888888888,0.0711111111111111,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
CDOLS,4,-0.002042506671328,0.0835306242972014,0.0657746233815376,0.9266666666666666,0.0733333333333333,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
CDOLS,5,-0.0036613641329129,0.0848588450574419,0.0676737138445692,0.9288888888888888,0.0711111111111111,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
CDOLS,6,-0.0011249346940867,0.0863843930328144,0.0684228206764593,0.9222222222222224,0.0777777777777777,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
DB,0,-0.0014252432233903,0.0472294532881454,0.0372816576506954,0.9111111111111112,0.0888888888888888,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
DB,1,-0.0010133877521034,0.0475755384243674,0.0381883777728874,0.9155555555555556,0.0844444444444444,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
DB,2,-0.0046607399435279,0.05126161651526,0.0405917283942241,0.9022222222222224,0.0977777777777777,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
DB,3,-0.0003517308871576,0.0500050820677819,0.0397867200853198,0.9044444444444444,0.0955555555555555,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
DB,4,-0.0013092242022604,0.0517862990444794,0.0414666239061883,0.9111111111111112,0.0888888888888888,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
DB,5,-0.001824557807846,0.0582355032475701,0.046963702999809,0.8955555555555555,0.1044444444444444,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
DB,6,0.0001985490543321,0.0575525217305955,0.0457976741801117,0.9111111111111112,0.0888888888888888,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
FE,0,-0.0014252432233903,0.0472294532881454,0.0372816576506954,0.9111111111111112,0.0888888888888888,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
FE,1,-0.0009181874270604,0.0462464492545999,0.0371892115812853,0.92,0.08,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
FE,2,-0.0045315224434914,0.0507715450363934,0.0402458899463646,0.9088888888888887,0.0911111111111111,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
FE,3,-0.0002131008852589,0.0496833644334415,0.0395202262229668,0.9111111111111112,0.0888888888888888,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
FE,4,-0.0011715749530709,0.0517261891290634,0.0413061798582573,0.9177777777777778,0.0822222222222222,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
FE,5,-0.0016933246225155,0.0585202627638556,0.0473424786413239,0.9066666666666666,0.0933333333333333,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
