est,h,bias,rmse,mae,coverage,rej_rate,n
CDOLS,0,0.0008820498180078357,0.03685331918308598,0.029108575295089433,0.9566666666666667,1.0,300
CDOLS,1,-0.008588303205626773,0.03428445133253169,0.028014056525900114,0.65,1.0,300
CDOLS,2,-0.015199328901321672,0.04101971041343687,0.0331454440969539,0.6,1.0,300
CDOLS,3,-0.022442831663728752,0.04916338524693632,0.03883215982059427,0.5733333333333334,1.0,300
CDOLS,4,-0.02754059273396247,0.05325738289649535,0.04313637790028751,0.48333333333333334,1.0,300
CDOLS,5,-0.03139544699475568,0.05610657230469774,0.044589854167194826,0.5433333333333333,1.0,300
CDOLS,6,-0.03484199843244581,0.06038668370668089,0.049315376794715815,0.46,1.0,300
CDOLS,7,-0.03643629527721007,0.0615847676039686,0.05044029432654421,0.43666666666666665,0.98,300
CDOLS,8,-0.043923542257679214,0.06600270229638262,0.05425941482574324,0.44666666666666666,0.9733333333333334,300
CDOLS,9,-0.046592912966782606,0.06967606880561009,0.056639995358087135,0.41,0.95,300
CDOLS,10,-0.04859971469389249,0.0710107684891262,0.059383739282071725,0.39666666666666667,0.9033333333333333,300
DB,0,0.000551891460994975,0.014562834648186338,0.011489755856374267,0.6433333333333333,1.0,300
DB,1,0.0041480508667450676,0.022099557727926607,0.01759415418435446,0.9033333333333333,1.0,300
DB,2,0.006619740524569974,0.035960069313768835,0.02904675019182058,0.8733333333333333,1.0,300
DB,3,0.007596117218530952,0.044916705507652185,0.03619523203656738,0.81,1.0,300
DB,4,0.008467797014667301,0.051943770148862665,0.0413513808422702,0.7666666666666667,1.0,300
DB,5,0.008652094398215985,0.05674271150995772,0.04503183548463254,0.7733333333333333,0.9933333333333333,300
DB,6,0.008519942772070247,0.05969137858091153,0.048178684891452675,0.7766666666666666,0.8933333333333333,300
DB,7,0.007790630207685485,0.061244763366614385,0.04814828348562353,0.7633333333333333,0.8,300
DB,8,0.006459583779132363,0.06195247959411171,0.048966944182274576,0.7366666666666667,0.6666666666666666,300
DB,9,0.006944554770289083,0.06241054008628107,0.0497483732374782,0.7433333333333333,0.48333333333333334,300
DB,10,0.007630533922229376,0.06285479233995717,0.04956331856901235,0.7466666666666667,0.36666666666666664,300
FE,0,0.000551891460994975,0.014562834648186338,0.011489755856374267,0.6433333333333333,1.0,300
FE,1,0.014513786433884079,0.025961933960915007,0.02032862473391222,0.8433333333333334,1.0,300
FE,2,0.025103670323764288,0.04285507822257047,0.03435752254352903,0.7533333333333333,1.0,300
FE,3,0.03244573491788459,0.05400164067420695,0.04354548899746279,0.7066666666666667,1.0,300
FE,4,0.03831290423865068,0.06275767340522269,0.05079177107374256,0.69,0.9966666666666667,300
FE,5,0.04241832297735755,0.06884050112812266,0.05551789745631883,0.66,0.93,300
FE,6,0.04536226543881561,0.07285349427518649,0.05919959358743084,0.6166666666666667,0.7633333333333333,300
FE,7,0.047042125680131726,0.07510389298796487,0.06176179239581148,0.5966666666666667,0.5733333333333334,300
FE,8,0.0475918685527249,0.07603578960262297,0.06333471832247937,0.5966666666666667,0.36,300
FE,9,0.04953715664574956,0.07763578374004348,0.06472883091502019,0.5833333333333334,0.26,300
FE,10,0.051347132989010814,0.07926785302187692,0.06667862556459206,0.5733333333333334,0.22333333333333333,300
HPJ,0,-0.0012737521436634667,0.042175199023825355,0.03296135415515735,0.24666666666666667,1.0,300
HPJ,1,0.011600203710421269,0.034276646981961124,0.027060762662138606,0.7066666666666667,1.0,300
HPJ,2,0.02344850142035808,0.053580601637976843,0.04260128811706784,0.69,1.0,300
HPJ,3,0.02971855019134475,0.06575089129803344,0.05176730012538583,0.6366666666666667,1.0,300
HPJ,4,0.034662641787842924,0.07342803417707201,0.058395477235861235,0.6366666666666667,0.9833333333333333,300
HPJ,5,0.039042225208013315,0.07989302793242087,0.06395738286314825,0.6133333333333333,0.8766666666666667,300
HPJ,6,0.04143478035830763,0.08323109838685937,0.06653588692955772,0.58,0.7333333333333333,300
HPJ,7,0.04329011004257583,0.08659756068402845,0.06994988554377052,0.54,0.59,300
HPJ,8,0.04414016226241779,0.08862933898487742,0.07050141260892297,0.5666666666666667,0.4666666666666667,300
HPJ,9,0.04601869963250588,0.09107816476350751,0.07279155685804824,0.56,0.4066666666666667,300
HPJ,10,0.04806027374713098,0.0935411985140032,0.07442663913063634,0.5433333333333333,0.38333333333333336,300
SPJ,0,0.0005589192476327217,0.014255521185911531,0.01131036032507758,0.7,1.0,300
SPJ,1,-0.0003150182157439039,0.02531225944106304,0.019810484297014475,0.9233333333333333,1.0,300
SPJ,2,-0.0006516733232426201,0.04237007793933751,0.0327970595782091,0.8466666666666667,1.0,300
SPJ,3,-0.001286451009685522,0.0546774466540785,0.04205800262084318,0.82,1.0,300
SPJ,4,-0.0010010714694731334,0.06467474888455413,0.049767474077844154,0.7666666666666667,1.0,300
SPJ,5,-0.0005800643588138156,0.072012165140505,0.0550732662407207,0.7266666666666667,0.9633333333333334,300
SPJ,6,0.0003467932696607812,0.07705975886146738,0.058984434931849045,0.7166666666666667,0.8833333333333333,300
SPJ,7,0.000654276762100387,0.0802580775613521,0.06085497681214562,0.71,0.75,300
SPJ,8,0.0008684002705486357,0.08213918393081686,0.06205534643375966,0.6866666666666666,0.6166666666666667,300
SPJ,9,0.0027068937729069157,0.08357491051070068,0.06339345633621152,0.6833333333333333,0.4066666666666667,300
SPJ,10,0.0052013430450744465,0.08515226115452207,0.06483818989873778,0.6766666666666666,0.33,300
