est,h,bias,rmse,mae,coverage,rej_rate,n
CDOLS,0,-1.9601611728392033e-05,0.0355320937315127,0.027622799425270107,0.9433333333333334,1.0,300
CDOLS,1,-0.007677608887674208,0.06858530537826941,0.05339776961524629,0.6066666666666667,1.0,300
CDOLS,2,-0.010730512006263833,0.09778057797916338,0.07349189488234478,0.5566666666666666,1.0,300
CDOLS,3,-0.01938741161243118,0.11311339434082793,0.08741033498534329,0.51,1.0,300
CDOLS,4,-0.03586788294454268,0.129461484076446,0.10076891309408455,0.46,1.0,300
CDOLS,5,-0.043106309744309165,0.1398301309372301,0.10556898672012355,0.4633333333333333,1.0,300
CDOLS,6,-0.05261213643784682,0.15406521171723597,0.11465864310395782,0.4866666666666667,0.9966666666666667,300
DB,0,-4.2291221579216684e-05,0.012043823547855105,0.009566464828435386,0.9,1.0,300
DB,1,0.053670895650454124,0.06509419740014574,0.05533130287869115,0.3433333333333333,1.0,300
DB,2,0.10768564486497276,0.12523553318454966,0.10933991653055651,0.18333333333333332,0.9966666666666667,300
DB,3,0.15921237584592682,0.18291298566810807,0.16027842776895426,0.11333333333333333,0.9966666666666667,300
DB,4,0.21147608069416296,0.24448256391784431,0.2124882214553908,0.08,0.9933333333333333,300
DB,5,0.2664917921345711,0.3115754858733163,0.26696889591413164,0.043333333333333335,0.9233333333333333,300
DB,6,0.3188375291545801,0.381507332473319,0.3189689420807399,0.02666666666666667,0.7866666666666666,300
FE,0,-4.2291221579216684e-05,0.012043823547855105,0.009566464828435386,0.9,1.0,300
FE,1,0.09131768158510824,0.09922036863662233,0.09238561868994853,0.08333333333333333,1.0,300
FE,2,0.17336547807378527,0.18531931336694046,0.17523272249848054,0.03333333333333333,1.0,300
FE,3,0.24398160668883856,0.2577361978097219,0.24576462611192118,0.016666666666666666,1.0,300
FE,4,0.30645280336757236,0.32198488883903104,0.3075977285917508,0.02,0.9066666666666666,300
FE,5,0.3621870526910319,0.37956087963788654,0.3630405956420731,0.016666666666666666,0.7,300
FE,6,0.40433591513592704,0.4235847515745289,0.40516513296715845,0.013333333333333334,0.56,300
HPJ,0,0.0027624038667541646,0.03707851898914327,0.02933947147924054,0.42333333333333334,1.0,300
HPJ,1,0.09181337998754671,0.1066917529925067,0.09352337189270575,0.13666666666666666,1.0,300
HPJ,2,0.1724256788961024,0.19315132007121139,0.17510202075974934,0.06,0.9966666666666667,300
HPJ,3,0.24179024993134826,0.265643872367678,0.2447277587095715,0.03333333333333333,0.9766666666666667,300
HPJ,4,0.30322560717617575,0.32975642228620083,0.30591171971638,0.04,0.86,300
HPJ,5,0.35948908032567123,0.38700829602468817,0.3619508228487491,0.043333333333333335,0.68,300
HPJ,6,0.3962313605882026,0.4255832008977009,0.3977190872378286,0.03333333333333333,0.6566666666666666,300
SPJ,0,-0.0006165371226901176,0.014967268112308663,0.011881034928373021,0.96,1.0,300
SPJ,1,0.002837422585539113,0.05524760049702121,0.044455274649874504,0.7366666666666667,1.0,300
SPJ,2,0.031862644991580626,0.10562195418073084,0.08681513162413278,0.5166666666666667,1.0,300
SPJ,3,0.07981816822210681,0.15778321913403232,0.1302449789113162,0.41333333333333333,0.9933333333333333,300
SPJ,4,0.1501593794250337,0.22368856079223084,0.1865043636309512,0.2833333333333333,0.9433333333333334,300
SPJ,5,0.23987901929430142,0.3020970379042625,0.2610954043480105,0.16333333333333333,0.81,300
SPJ,6,0.3314584822387895,0.3848571693589116,0.3433407470828175,0.08333333333333333,0.6733333333333333,300
