est,h,bias,rmse,mae,coverage,rej_rate,n
CDOLS,0,0.00038663376154569255,0.04402282632618014,0.03497136239978086,0.9366666666666666,1.0,300
CDOLS,1,-0.026028523672264617,0.055398084929589385,0.04430801548202802,0.9166666666666666,0.85,300
CDOLS,2,-0.03030432815509675,0.05781700494253302,0.04716123785147948,0.9133333333333333,0.2,300
CDOLS,3,-0.02653138285311726,0.061251491893841256,0.0493228147282639,0.9066666666666666,0.11333333333333333,300
CDOLS,4,-0.03366497378873125,0.06515997828482586,0.05292968174937145,0.8933333333333333,0.11,300
CDOLS,5,-0.03473971314636466,0.06869817673405403,0.05494843993393725,0.8633333333333333,0.13666666666666666,300
CDOLS,6,-0.02696421454802088,0.0644323589168855,0.051294501467235534,0.9266666666666666,0.07333333333333333,300
DB,0,0.0018883759551362041,0.03151922786140756,0.025016640696082795,0.9466666666666667,1.0,300
DB,1,0.0025872725766232525,0.038199283358029905,0.030536162606256058,0.9266666666666666,0.8533333333333334,300
DB,2,0.006742286190236593,0.038354488679067905,0.03080578868247405,0.9466666666666667,0.04666666666666667,300
DB,3,0.009762539341159284,0.042499013436764585,0.03336886839154369,0.9266666666666666,0.07333333333333333,300
DB,4,0.0021801582498170067,0.04147596131604171,0.03339327479535869,0.9466666666666667,0.05,300
DB,5,0.0028465332857702847,0.04508182482838557,0.036393631381593204,0.9066666666666666,0.09333333333333334,300
DB,6,0.010947937478105027,0.04784049107095622,0.03682187078387595,0.9133333333333333,0.08666666666666667,300
FE,0,0.0018883759551362041,0.03151922786140756,0.025016640696082795,0.9466666666666667,1.0,300
FE,1,0.03608255421644931,0.05196888270041422,0.04237336131033648,0.8166666666666667,0.64,300
FE,2,0.044661592253771656,0.058299750837851994,0.04860003208052214,0.76,0.1,300
FE,3,0.04767125297930703,0.063154943071317,0.05271241468647956,0.75,0.21666666666666667,300
FE,4,0.038973120866095654,0.05691678889627825,0.04569805173619325,0.82,0.17666666666666667,300
FE,5,0.03774967841856793,0.05897912401742485,0.04776630137594923,0.81,0.18666666666666668,300
FE,6,0.043004811094246996,0.06360777244990162,0.050812787854475405,0.8,0.2,300
HPJ,0,0.006198203218736964,0.08622812570685545,0.06862433808906038,0.5066666666666667,1.0,300
HPJ,1,0.04316896038797037,0.11151169544543495,0.08914444920075691,0.45,0.6066666666666667,300
HPJ,2,0.04580322692288226,0.12658863035868406,0.10117650167827165,0.45,0.55,300
HPJ,3,0.0424332469198742,0.11698082247867686,0.09204413858732782,0.49333333333333335,0.51,300
HPJ,4,0.03493308982997941,0.11356109616696565,0.08952111420018954,0.5266666666666666,0.47333333333333333,300
HPJ,5,0.033984532096570014,0.11963062630876459,0.09499538970557429,0.49,0.51,300
HPJ,6,0.034340813454049164,0.13302007550835898,0.1069468250396503,0.4633333333333333,0.5366666666666666,300
SPJ,0,0.0012145109518583105,0.03240084947764192,0.025248136393400504,0.95,1.0,300
SPJ,1,-0.004120424402766287,0.03908970059071756,0.03158216323463351,0.9633333333333334,0.8566666666666667,300
SPJ,2,0.0020514878510477464,0.04085307916561732,0.03331426634614145,0.96,0.06333333333333334,300
SPJ,3,0.012524547598355704,0.046085642756975916,0.03589349169503813,0.92,0.07333333333333333,300
SPJ,4,0.016308344495552272,0.04690000866239194,0.03736549848252692,0.9266666666666666,0.06666666666666667,300
SPJ,5,0.03271349784913095,0.05743895842849727,0.046445918286982836,0.88,0.12,300
SPJ,6,0.057782178514880635,0.07617306188802055,0.06311089241360003,0.7733333333333333,0.22666666666666666,300
