est,h,bias,rmse,mae,coverage,rej_rate,n
CDOLS,0,-0.0033851255087909665,0.07374842787836614,0.05916220904470584,0.91,1.0,300
CDOLS,1,-0.02488693141315654,0.0819158736677723,0.06710705867944912,0.92,0.99,300
CDOLS,2,-0.03888451519145493,0.09083205755316463,0.07235296154080735,0.9133333333333333,0.64,300
CDOLS,3,-0.035659178079019305,0.09324805984851182,0.07581558440764072,0.9166666666666666,0.30333333333333334,300
CDOLS,4,-0.03841758793091024,0.1006294815522626,0.08055041463868856,0.9066666666666666,0.17,300
CDOLS,5,-0.039460846166570133,0.10794100260646715,0.08553586252519003,0.8866666666666667,0.17,300
CDOLS,6,-0.04029113807777208,0.10810675750176234,0.08486544282087108,0.8833333333333333,0.13,300
DB,0,-0.0026154018040576332,0.04678840876996902,0.03712138527427825,0.9133333333333333,1.0,300
DB,1,0.006906225792042008,0.05489373804896225,0.04386744368410166,0.9333333333333333,1.0,300
DB,2,0.015002523862131974,0.06711365827799624,0.05221675837132433,0.9,0.67,300
DB,3,0.026704207566916167,0.07033399557018685,0.05579769353022121,0.8866666666666667,0.18,300
DB,4,0.02751017025147752,0.07225830439663525,0.05826597170893095,0.8866666666666667,0.1,300
DB,5,0.027889176807280317,0.07575560289364999,0.06154277649064401,0.8533333333333334,0.11,300
DB,6,0.02728251177810046,0.07834410592318831,0.0626259084666952,0.8466666666666667,0.14,300
FE,0,-0.0026154018040576332,0.04678840876996902,0.03712138527427825,0.9133333333333333,1.0,300
FE,1,0.04766950673617127,0.07111294858092136,0.05962542350267005,0.84,0.9966666666666667,300
FE,2,0.07298360737964896,0.0968084627468172,0.079906520366609,0.7166666666666667,0.30666666666666664,300
FE,3,0.09126347784436423,0.11122824688289777,0.09454144634548052,0.6433333333333333,0.09,300
FE,4,0.09335241180894274,0.1149681108015204,0.09808628693925577,0.63,0.19666666666666666,300
FE,5,0.09179869324894845,0.11649186732879702,0.09849994744941888,0.6366666666666667,0.2866666666666667,300
FE,6,0.08661812751709935,0.11459414731650923,0.09623653518379983,0.6566666666666666,0.2833333333333333,300
HPJ,0,-0.020681739223152664,0.12960551454594074,0.102713077405746,0.52,1.0,300
HPJ,1,0.04232168496946293,0.15729490911483196,0.1255169863198027,0.47333333333333333,0.8633333333333333,300
HPJ,2,0.08162535787348306,0.17861387762535866,0.14643433155143026,0.42,0.5066666666666667,300
HPJ,3,0.09252322869489547,0.2062808352674162,0.16182864011746345,0.43666666666666665,0.5066666666666667,300
HPJ,4,0.09644607313429737,0.2162170880652585,0.17318412248360954,0.4266666666666667,0.5666666666666667,300
HPJ,5,0.08319879815072587,0.2019703806408274,0.16195375459189737,0.4066666666666667,0.5533333333333333,300
HPJ,6,0.07434240092422649,0.22027108507023005,0.17419645219284072,0.4166666666666667,0.5866666666666667,300
SPJ,0,-0.0017303058720790998,0.051282360462151955,0.04043029494010704,0.9333333333333333,1.0,300
SPJ,1,-0.004775985369393784,0.06176258491300045,0.0491186951547144,0.94,1.0,300
SPJ,2,0.002724212236414503,0.07542598672008594,0.058902027255756634,0.9233333333333333,0.5966666666666667,300
SPJ,3,0.023529205324179812,0.08222940319228068,0.06521035527495607,0.9033333333333333,0.13666666666666666,300
SPJ,4,0.04331384222574193,0.09180094589381234,0.07338801239317636,0.8466666666666667,0.08666666666666667,300
SPJ,5,0.07265851255781847,0.11137452996411004,0.09127555034509548,0.7866666666666666,0.16666666666666666,300
SPJ,6,0.10761400929347742,0.1393473328360786,0.11897027026489165,0.66,0.2833333333333333,300
