est,h,bias,rmse,mae,coverage,rej_rate,n
CDOLS,0,-0.003469165926776152,0.07395307949553093,0.05925146046128475,0.91,1.0,300
CDOLS,1,-0.02302231903649502,0.08173546938395321,0.06697002359365418,0.92,1.0,300
CDOLS,2,-0.04100219575465174,0.09390544801717013,0.0747182719871664,0.9133333333333333,1.0,300
CDOLS,3,-0.04395776636467259,0.1011063914717384,0.08198628787301201,0.9066666666666666,0.9666666666666667,300
CDOLS,4,-0.05344779316264088,0.11171237317359983,0.08992393601694997,0.8833333333333333,0.8766666666666667,300
CDOLS,5,-0.06105594870372792,0.1232689907725428,0.09773084772934756,0.84,0.74,300
CDOLS,6,-0.06685800867958043,0.1261551525143545,0.09999414652031274,0.8733333333333333,0.5833333333333334,300
DB,0,-0.0032368043900857717,0.03756923583279304,0.02964344643256799,0.9133333333333333,1.0,300
DB,1,0.022743673247671996,0.050897236878699854,0.04091665819747924,0.8933333333333333,1.0,300
DB,2,0.049834382111986354,0.07834137688337803,0.06251055882438417,0.7866666666666666,1.0,300
DB,3,0.07869593517204006,0.10329622183863998,0.08440433987585381,0.6633333333333333,0.9466666666666667,300
DB,4,0.09960014985944836,0.12301127938121809,0.10502975227773803,0.5366666666666666,0.7,300
DB,5,0.11731904558102547,0.14025655399131973,0.12190664427500683,0.47333333333333333,0.3333333333333333,300
DB,6,0.1314900043833454,0.15224919322610656,0.13520907517733177,0.4066666666666667,0.17333333333333334,300
FE,0,-0.0032368043900857717,0.03756923583279304,0.02964344643256799,0.9133333333333333,1.0,300
FE,1,0.06714719665998076,0.0801762882284545,0.06894393274561202,0.65,1.0,300
FE,2,0.1246411346438245,0.13744879153339612,0.12507158516285224,0.3433333333333333,0.9966666666666667,300
FE,3,0.17333699645130551,0.18457244499050665,0.17354860071339534,0.13666666666666666,0.6633333333333333,300
FE,4,0.20562095835222147,0.21700281157823495,0.20562095835222147,0.1,0.16666666666666666,300
FE,5,0.2273577946236029,0.23944836155408852,0.2273577946236029,0.08333333333333333,0.20666666666666667,300
FE,6,0.23839694926642324,0.2503290152279511,0.23875207843961466,0.07,0.38,300
HPJ,0,-0.017145373831778023,0.10548960894242883,0.08253679635344852,0.49333333333333335,1.0,300
HPJ,1,0.06424182794620249,0.13882443104593076,0.11215064320221389,0.46,1.0,300
HPJ,2,0.1298656196208464,0.19613628615796638,0.1603425869012071,0.3466666666666667,0.8466666666666667,300
HPJ,3,0.1740266951635688,0.24870017251093193,0.20802397611015433,0.26666666666666666,0.6666666666666666,300
HPJ,4,0.21117394515326676,0.28334760718696234,0.23982766829295865,0.22333333333333333,0.5633333333333334,300
HPJ,5,0.22712579975301106,0.2990620150264084,0.25665886550942574,0.20666666666666667,0.5466666666666666,300
HPJ,6,0.24250638573807318,0.3233722478295285,0.27101607226940655,0.20666666666666667,0.6133333333333333,300
SPJ,0,-0.0021296321243063744,0.04670702224682415,0.037067551935577286,0.9433333333333334,1.0,300
SPJ,1,-0.005316850817733764,0.05860498552301023,0.04672286378170813,0.9366666666666666,1.0,300
SPJ,2,0.008700897335907941,0.08043131897739916,0.06407646508188151,0.9033333333333333,1.0,300
SPJ,3,0.04314203770672665,0.10420663559788855,0.08326499156356171,0.85,0.87,300
SPJ,4,0.09000829436212535,0.13826702782086395,0.11126126530429663,0.7133333333333334,0.4866666666666667,300
SPJ,5,0.15281155277932976,0.1896889305564329,0.1620280925518007,0.54,0.13666666666666666,300
SPJ,6,0.22156399374140193,0.24845524568783062,0.22445034110084625,0.3233333333333333,0.24333333333333335,300
