est,h,bias,rmse,mae,coverage,rej_rate,n,cell,N,T,rho,sig_lam,het_rho,het_beta
HPJ,3,-0.0166327241264417,0.1731045858439065,0.128116691526951,0.31,0.7833333333333333,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
HPJ,4,0.000524538429568,0.1674915710393772,0.1269686498433691,0.2833333333333333,0.7,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
HPJ,5,0.0207787801024051,0.159963325972776,0.125511477494083,0.26,0.6333333333333333,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
HPJ,6,0.0439565367893852,0.1601310070486016,0.1279488915165805,0.2466666666666666,0.63,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
HPJ,7,0.0506351214293279,0.1612145753089578,0.1281683199036214,0.2866666666666667,0.6233333333333333,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
HPJ,8,0.0647325371904764,0.1635176152296716,0.1316158186661646,0.29,0.6233333333333333,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
HPJ,9,0.0711719317281057,0.1660255755511581,0.1313365570655271,0.2933333333333333,0.64,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
HPJ,10,0.0832641097214555,0.1705475034741954,0.136566406214195,0.29,0.7,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
SPJ,0,-0.0018132793458754,0.0224086835958065,0.0175891551695528,0.9533333333333334,1.0,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
SPJ,1,-0.1178503611675245,0.1293841688982054,0.1181649858813675,0.1433333333333333,1.0,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
SPJ,2,-0.1294105832763158,0.1464366983846847,0.1298333637512705,0.1766666666666666,1.0,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
SPJ,3,-0.1167091005902917,0.1408651519961563,0.1190605863790826,0.3,0.9966666666666668,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
SPJ,4,-0.092773557189427,0.1259575173668083,0.1007194879338585,0.45,0.96,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
SPJ,5,-0.0640624780816327,0.1080890088709277,0.0848011455870381,0.5666666666666667,0.8133333333333334,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
SPJ,6,-0.0329628241135623,0.0909343772560146,0.0707477231279452,0.65,0.6233333333333333,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
SPJ,7,0.0004515446249958,0.0835198701170596,0.0660133046977483,0.71,0.4566666666666666,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
SPJ,8,0.0363840892892743,0.0889790015234968,0.0712501927693298,0.6833333333333333,0.31,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
SPJ,9,0.0738951621857022,0.1072181694088099,0.0900487760474359,0.52,0.3033333333333333,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
SPJ,10,0.1028930885501471,0.1276728124121801,0.1108804459261081,0.39,0.3933333333333333,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
