est,h,bias,rmse,mae,coverage,rej_rate,n
CDOLS,0,0.00010816766762150303,0.01777740582633252,0.013834633553700288,0.9633333333333334,1.0,300
CDOLS,1,-0.003934866306391022,0.030144719871543966,0.0244483794065629,0.39,1.0,300
CDOLS,2,-0.009983161718502475,0.03911551490634842,0.030526590200387133,0.37333333333333335,1.0,300
CDOLS,3,-0.017267421077960896,0.04781270150494632,0.037138686445206744,0.3566666666666667,1.0,300
CDOLS,4,-0.023133969009455572,0.05488078931850684,0.04340180378366349,0.2966666666666667,1.0,300
CDOLS,5,-0.029237058016859656,0.06138517916193944,0.04789724454947608,0.3,1.0,300
CDOLS,6,-0.0351631625561704,0.07197609606447956,0.055189918369899636,0.29,1.0,300
CDOLS,7,-0.04285411536550178,0.07990871136874375,0.06049416331717882,0.27666666666666667,1.0,300
CDOLS,8,-0.04658429835609284,0.08212839857834112,0.06281218689786254,0.29,1.0,300
CDOLS,9,-0.05397033053592088,0.08684655890004306,0.06712536658723195,0.22666666666666666,1.0,300
CDOLS,10,-0.05916086246859131,0.08954323491508523,0.0692405401103539,0.23666666666666666,1.0,300
DB,0,-5.97528926503299e-05,0.00278229682532683,0.0022180802985017267,0.8666666666666667,1.0,300
DB,1,0.007411492301481208,0.013324145496530937,0.010876498124816622,0.6866666666666666,1.0,300
DB,2,0.01393682347867855,0.024580447251210804,0.020283377683880808,0.55,1.0,300
DB,3,0.019999720271541167,0.03497189237610279,0.029038475022251584,0.43333333333333335,1.0,300
DB,4,0.025806338917694686,0.044360292032357036,0.03702442544367563,0.38333333333333336,1.0,300
DB,5,0.03129449292585796,0.05290967347161227,0.04465307860565719,0.34,1.0,300
DB,6,0.036531436898985366,0.06064451585227732,0.05176443498836371,0.30333333333333334,1.0,300
DB,7,0.041386957530742736,0.06767642347295996,0.05838121032406712,0.25666666666666665,1.0,300
DB,8,0.04642165729935004,0.07467733061532199,0.06428592930851104,0.24,1.0,300
DB,9,0.050855547690507374,0.08092980253886962,0.06936190882520583,0.24,1.0,300
DB,10,0.055237632956975764,0.08640081132225601,0.07408578660012106,0.22333333333333333,1.0,300
FE,0,-5.97528926503299e-05,0.00278229682532683,0.0022180802985017267,0.8666666666666667,1.0,300
FE,1,0.017487002838908198,0.020711656421088773,0.017936008763678495,0.44,1.0,300
FE,2,0.033334151179754426,0.03895178645236561,0.034103273717287046,0.26,1.0,300
FE,3,0.04801828493075341,0.055764247429657056,0.04913349022201725,0.22,1.0,300
FE,4,0.06179407572133505,0.07122615414886864,0.06315713481325211,0.17666666666666667,1.0,300
FE,5,0.07464362336949264,0.08546322977931636,0.07621183127868844,0.13333333333333333,1.0,300
FE,6,0.08667457454386131,0.09855981159319596,0.08825084186430518,0.12333333333333334,1.0,300
FE,7,0.0977935176693353,0.1105816906222998,0.09932772114391362,0.12,1.0,300
FE,8,0.10859454224132234,0.12227239045066894,0.11007776586581701,0.10333333333333333,1.0,300
FE,9,0.11832808176281079,0.13283229648345593,0.11980531558977123,0.10333333333333333,1.0,300
FE,10,0.12757072345856071,0.14251156911220367,0.12895223111178483,0.09666666666666666,1.0,300
HPJ,0,-0.0014829076054387838,0.008244218548629632,0.006631236432631206,0.38333333333333336,1.0,300
HPJ,1,0.017592551622025998,0.022237364663900968,0.01845592986515569,0.43333333333333335,1.0,300
HPJ,2,0.03343578543870401,0.040402723840862624,0.03454347023098586,0.27666666666666667,1.0,300
HPJ,3,0.04784719676973707,0.05700235455827445,0.04939748200353286,0.21333333333333335,1.0,300
HPJ,4,0.06167237976296314,0.07258908380680718,0.06358496112908435,0.18,1.0,300
HPJ,5,0.07450291209939132,0.08700980018918518,0.0765821895781446,0.16333333333333333,1.0,300
HPJ,6,0.08678569590527585,0.10047962070222304,0.08878847549050031,0.14,1.0,300
HPJ,7,0.0978416710880951,0.11263361234061793,0.0998572764664614,0.12333333333333334,1.0,300
HPJ,8,0.10885751276511181,0.12465472122711914,0.11066079841809627,0.11333333333333333,1.0,300
HPJ,9,0.11866485343226353,0.13541933637297032,0.12027592477803957,0.12,1.0,300
HPJ,10,0.1274684933886396,0.1448734480522593,0.12907902281472097,0.11,0.9966666666666667,300
SPJ,0,5.240530421086372e-05,0.0027756257311826464,0.0021775116425166007,0.9566666666666667,1.0,300
SPJ,1,-0.000422138041592998,0.014102557365336856,0.011509883597845674,0.86,1.0,300
SPJ,2,-0.0006163014151662915,0.02684819647930409,0.021840436140896057,0.6266666666666667,1.0,300
SPJ,3,-0.0002524529315141213,0.038636565571910086,0.031279651035834966,0.51,1.0,300
SPJ,4,0.0008099419642009626,0.049803953959039735,0.040619325305134166,0.4533333333333333,1.0,300
SPJ,5,0.002397521618106945,0.059760670161653116,0.04880301017231415,0.39,1.0,300
SPJ,6,0.004586638337236524,0.0687656326420809,0.0563964119730106,0.35,1.0,300
SPJ,7,0.0069400270256644615,0.07713838128659264,0.06352843576773494,0.32666666666666666,1.0,300
SPJ,8,0.010330099813608449,0.0848014075439642,0.07004914928531683,0.29333333333333333,1.0,300
SPJ,9,0.013521481933980754,0.09216455669988749,0.07592087462327608,0.2833333333333333,1.0,300
SPJ,10,0.01782450631489842,0.09876839402875241,0.08171103792561629,0.2633333333333333,1.0,300
