est,h,bias,rmse,mae,coverage,rej_rate,n
CDOLS,0,0.0001272288092014135,0.014380866999467631,0.01148875993671762,0.9333333333333333,1.0,450
CDOLS,1,-0.021517964613081236,0.026375875344599915,0.02247862610134289,0.7177777777777777,1.0,450
CDOLS,2,-0.026341480742218468,0.030227581042062957,0.02674411643948759,0.6333333333333333,0.9111111111111111,450
CDOLS,3,-0.026186707936266183,0.029895394978148897,0.026412863972250643,0.6333333333333333,0.5,450
CDOLS,4,-0.027128744597851317,0.03147174550391126,0.027601572905495565,0.5933333333333334,0.42444444444444446,450
CDOLS,5,-0.026778822509060125,0.03137275851625038,0.02742579536843291,0.5888888888888889,0.4111111111111111,450
CDOLS,6,-0.027716698042958485,0.032219114281629,0.0282115411488904,0.6088888888888889,0.39111111111111113,450
CDOLS,7,-0.02868091209031451,0.032440702084386513,0.02921600883251872,0.58,0.42,450
CDOLS,8,-0.026564063581498827,0.031205013374557333,0.02710618781232551,0.6644444444444444,0.33555555555555555,450
CDOLS,9,-0.026344607064136005,0.031215069627040955,0.02687233489070393,0.6222222222222222,0.37777777777777777,450
CDOLS,10,-0.02695148462126242,0.03165385695099797,0.027597692795693785,0.66,0.34,450
DB,0,0.0002266738385783884,0.010151545102879848,0.00817346284303032,0.9488888888888889,1.0,450
DB,1,0.0011375904699539128,0.011952518688602028,0.009346962942601691,0.9355555555555556,1.0,450
DB,2,0.0015685535136113822,0.011884234287933053,0.009387481151406151,0.9511111111111111,0.49333333333333335,450
DB,3,0.0023715797579407396,0.012112417383174204,0.009800372073982077,0.9511111111111111,0.07111111111111111,450
DB,4,0.0016510698446811638,0.012326469686008958,0.009604931166521296,0.9311111111111111,0.06222222222222222,450
DB,5,0.0018454368177512406,0.013174112859407396,0.010442654457916214,0.9266666666666666,0.07333333333333333,450
DB,6,0.0007330584748020207,0.012028826895665949,0.00961430413694613,0.9533333333333334,0.04666666666666667,450
DB,7,0.0004822313102691322,0.012922179585794,0.010293011722334459,0.9444444444444444,0.05555555555555555,450
DB,8,0.002480912046370353,0.013655349533470187,0.011051152574044562,0.9311111111111111,0.06888888888888889,450
DB,9,0.002478769722180269,0.013342449373192457,0.010735073504176745,0.9311111111111111,0.06888888888888889,450
DB,10,0.0018554400983301074,0.01312142306387293,0.010447802323245539,0.9377777777777778,0.06222222222222222,450
FE,0,0.0002266738385783884,0.010151545102879848,0.00817346284303032,0.9488888888888889,1.0,450
FE,1,0.015166906040290454,0.01922624808149668,0.016461080729758475,0.7422222222222222,1.0,450
FE,2,0.01809073290714172,0.021574459927518403,0.018606641306257155,0.6777777777777778,0.07555555555555556,450
FE,3,0.019306198376187484,0.022681728711829156,0.01984282859413654,0.6244444444444445,0.25333333333333335,450
FE,4,0.01860771330074883,0.022274298438055107,0.019381377409696105,0.6688888888888889,0.3111111111111111,450
FE,5,0.018735045998560722,0.022838751730073173,0.019601623201351177,0.6644444444444444,0.3333333333333333,450
FE,6,0.01751846824596384,0.02126209656495695,0.018220826636425682,0.7266666666666667,0.2733333333333333,450
FE,7,0.017132911147363487,0.021452869920712953,0.01817698838785106,0.7244444444444444,0.27555555555555555,450
FE,8,0.018964397750232606,0.023228590507423808,0.020079247344432647,0.6488888888888888,0.3511111111111111,450
FE,9,0.018758657931825403,0.02287735396275945,0.01955080949839261,0.6733333333333333,0.32666666666666666,450
FE,10,0.017890497041648006,0.02208502709341536,0.019120474723530397,0.7155555555555555,0.28444444444444444,450
HPJ,0,0.0023319817273878955,0.0254460947532492,0.020455254371351376,0.5644444444444444,1.0,450
HPJ,1,0.016418912487781642,0.03596332958693307,0.028949005436792487,0.4533333333333333,0.9955555555555555,450
HPJ,2,0.018918862721375315,0.03580569122924626,0.02938249854828783,0.43333333333333335,0.4577777777777778,450
