est,h,bias,rmse,mae,coverage,rej_rate,n
CDOLS,0,-0.00045877776625092957,0.034662357052979764,0.02708564652192451,0.9166666666666666,1.0,300
CDOLS,1,-0.01675128758831466,0.038636982594532444,0.030935065123495656,0.94,1.0,300
CDOLS,2,-0.03665499497643024,0.052828814399937224,0.04403045613415453,0.8433333333333334,1.0,300
CDOLS,3,-0.052450992967467684,0.06804113742090345,0.05775140422618651,0.7666666666666667,1.0,300
CDOLS,4,-0.06879062153305777,0.08167988744092293,0.06994536707139933,0.6833333333333333,1.0,300
CDOLS,5,-0.08529718633796508,0.09958241413656646,0.08774935347304962,0.6,1.0,300
CDOLS,6,-0.09718070405663906,0.11086310094318487,0.09851582486208864,0.5466666666666666,1.0,300
DB,0,-0.0005476815718489799,0.012904001814049318,0.010361479635684711,0.94,1.0,300
DB,1,0.03748737875044316,0.040984134047943814,0.03768508103606566,0.3433333333333333,1.0,300
DB,2,0.07944668855669872,0.08296997017761146,0.07944668855669872,0.04,1.0,300
DB,3,0.12626768926763002,0.12959852914139525,0.12626768926763002,0.0033333333333333335,1.0,300
DB,4,0.1739444877204295,0.17704184716992669,0.1739444877204295,0.0,1.0,300
DB,5,0.22246597277025387,0.22549430961373415,0.22246597277025387,0.0,1.0,300
DB,6,0.2706143392580404,0.27306375838677394,0.2706143392580404,0.0,0.9966666666666667,300
FE,0,-0.0005476815718489799,0.012904001814049318,0.010361479635684711,0.94,1.0,300
FE,1,0.07603777272252321,0.07774977339711382,0.07603777272252321,0.0,1.0,300
FE,2,0.14852710153944876,0.15035297076968385,0.14852710153944876,0.0,1.0,300
FE,3,0.2181125163793878,0.2199999905839205,0.2181125163793878,0.0,1.0,300
FE,4,0.28061830568574175,0.28253212742557604,0.28061830568574175,0.0,1.0,300
FE,5,0.33534272282940203,0.3374067502427414,0.33534272282940203,0.0,0.9866666666666667,300
FE,6,0.3796881882123128,0.38154805644220285,0.3796881882123128,0.0,0.58,300
HPJ,0,-0.003000295177748768,0.0331802079105614,0.026714125562861058,0.54,1.0,300
HPJ,1,0.07162348459713831,0.08401370606158538,0.07316750035158702,0.16,1.0,300
HPJ,2,0.14385484307569277,0.1560607021730895,0.14411431567441066,0.043333333333333335,1.0,300
HPJ,3,0.21568873174412578,0.22804214562595299,0.21576077727548082,0.006666666666666667,1.0,300
HPJ,4,0.27749859160955737,0.29102711293351996,0.27749859160955737,0.0033333333333333335,0.9733333333333334,300
HPJ,5,0.33582693636655936,0.3496278269171707,0.33582693636655936,0.0,0.8266666666666667,300
HPJ,6,0.3797494383621588,0.39346706313874297,0.3797494383621588,0.0,0.6766666666666666,300
SPJ,0,5.6092686399534797e-05,0.01676470164687918,0.013506515291975664,0.9733333333333334,1.0,300
SPJ,1,-0.004917561472434895,0.02477678676580965,0.01925633111867689,0.9466666666666667,1.0,300
SPJ,2,0.01058713877571229,0.0370611945523984,0.02966700118244327,0.91,1.0,300
SPJ,3,0.04830161752305796,0.06557600893763729,0.05503525641320872,0.6833333333333333,1.0,300
SPJ,4,0.10919928732028229,0.12105204305712525,0.10969877159406641,0.30666666666666664,1.0,300
SPJ,5,0.19238645625203857,0.2006463450303464,0.19238645625203857,0.04666666666666667,0.9966666666666667,300
SPJ,6,0.2866712305958457,0.29247547135686264,0.2866712305958457,0.0033333333333333335,0.9,300
