est,h,bias,rmse,mae,coverage,rej_rate,n
CDOLS,0,0.0031304426901617084,0.02717057842000798,0.022127022112045175,0.9488888888888889,0.051111111111111114,450
CDOLS,1,0.00015612056287452213,0.01106285947144743,0.008950101549647456,0.9311111111111111,0.06888888888888889,450
CDOLS,2,0.0009919269052812534,0.011405303999489797,0.009022423616807976,0.94,0.06,450
CDOLS,3,0.000930492277761998,0.011170356999977779,0.009056882872182747,0.9444444444444444,0.05555555555555555,450
CDOLS,4,0.001072445374972549,0.010748913021414246,0.008557712140137832,0.9466666666666667,0.05333333333333334,450
CDOLS,5,-0.00034097957301592745,0.01175610151755575,0.00950479389727402,0.94,0.06,450
CDOLS,6,-0.001009649720901771,0.011207060893077957,0.009168457156146958,0.9533333333333334,0.04666666666666667,450
CDOLS,7,9.384774559309961e-05,0.011871105014651847,0.009324899886018933,0.9466666666666667,0.05333333333333334,450
CDOLS,8,0.0005491506297771778,0.011709216979400206,0.009277685472647706,0.9355555555555556,0.06444444444444444,450
CDOLS,9,6.12001827615323e-05,0.011636657450225853,0.009339110035231175,0.9377777777777778,0.06222222222222222,450
CDOLS,10,0.000294705044911341,0.011997139806204041,0.009474931152250404,0.9377777777777778,0.06222222222222222,450
DB,0,0.00015587418515563273,0.004009447642264121,0.003267611727035868,0.8533333333333334,0.14666666666666667,450
DB,1,-0.0003307108526568023,0.0032184153798485568,0.0025820290612906583,0.9311111111111111,0.06888888888888889,450
DB,2,-0.0002837898800543814,0.0031819139268480403,0.002595144817652791,0.94,0.06,450
DB,3,-0.0003366376367945896,0.003258711377673371,0.0026525326004637603,0.9422222222222222,0.057777777777777775,450
DB,4,-0.00043429397464755373,0.003360038018305157,0.0026835928684705705,0.9355555555555556,0.06444444444444444,450
DB,5,-0.000549393520003868,0.0034607058512653517,0.0028049861376638853,0.9288888888888889,0.07111111111111111,450
DB,6,-0.00041925268899103475,0.0034290858734685897,0.002718021424176421,0.9355555555555556,0.06444444444444444,450
DB,7,-0.00020119184090263366,0.003457697936931326,0.0027538065622830506,0.9222222222222223,0.07777777777777778,450
DB,8,-0.00018136352265486392,0.0035060278921415166,0.002761160797365933,0.9133333333333333,0.08666666666666667,450
DB,9,-0.00017925441296808372,0.0034518510998335816,0.0027277430586284796,0.9266666666666666,0.07333333333333333,450
DB,10,-0.0001461421606068051,0.003514387625718952,0.0027422175389133384,0.9333333333333333,0.06666666666666667,450
FE,0,0.00015587418515563273,0.004009447642264121,0.003267611727035868,0.8533333333333334,0.14666666666666667,450
FE,1,-0.00033331772969319635,0.0031898187271966767,0.0025586972267106576,0.9355555555555556,0.06444444444444444,450
FE,2,-0.0002887501705681183,0.0031298848277275743,0.0025506983611907055,0.9444444444444444,0.05555555555555555,450
FE,3,-0.0003437190279776342,0.003187174289139088,0.002593422420822009,0.9466666666666667,0.05333333333333334,450
FE,4,-0.000443283565580517,0.0032859654807588356,0.0026180228585321397,0.9333333333333333,0.06666666666666667,450
FE,5,-0.0005600962254783461,0.003362256041135637,0.0027173724553043823,0.9311111111111111,0.06888888888888889,450
FE,6,-0.0004314897740413404,0.003329387560527157,0.002632610165454181,0.94,0.06,450
FE,7,-0.00021479957508336266,0.0033559021399105987,0.002668350084576898,0.9311111111111111,0.06888888888888889,450
FE,8,-0.00019619194402551536,0.003400371172553529,0.002703080743730271,0.9244444444444444,0.07555555555555556,450
FE,9,-0.00019516619259116001,0.0033410015852870854,0.002661409751613888,0.9422222222222222,0.057777777777777775,450
FE,10,-0.0001630115591382541,0.003388027634741501,0.0026610538106055007,0.9444444444444444,0.05555555555555555,450
HPJ,0,-6.046507517795365e-06,0.01135518839211274,0.008930898888167421,0.4177777777777778,0.5822222222222222,450
HPJ,1,-6.294550416583445e-05,0.008369372250110316,0.006480716116996835,0.5511111111111111,0.4488888888888889,450
HPJ,2,-0.00015958186168119924,0.008436172809138723,0.0065199520924331695,0.5444444444444444,0.45555555555555555,450
HPJ,3,-0.00010721025685931024,0.00870029990572091,0.0066904622360384434,0.5444444444444444,0.45555555555555555,450
HPJ,4,-0.0003833344790083986,0.00873642801846625,0.006719143912831549,0.5444444444444444,0.45555555555555555,450
HPJ,5,-0.00043427778979612667,0.00867620152405752,0.0066906026256288035,0.5533333333333333,0.44666666666666666,450
HPJ,6,-0.00036258494790251277,0.008796750551900415,0.0069268689889423396,0.5222222222222223,0.4777777777777778,450
HPJ,7,-0.0004173180811384447,0.008964677133968809,0.00703340915968138,0.5288888888888889,0.4711111111111111,450
HPJ,8,-0.0005231486030920588,0.008904668962381745,0.006992857485477335,0.5266666666666666,0.47333333333333333,450
HPJ,9,-0.000128368381515551,0.009097040983521132,0.007099734360665393,0.5466666666666666,0.4533333333333333,450
HPJ,10,2.1564010961684043e-05,0.00898846942500196,0.0070423015892002875,0.5466666666666666,0.4533333333333333,450
SPJ,0,6.612074010309819e-05,0.004260076959360951,0.0034113083636669026,0.9311111111111111,0.06888888888888889,450
SPJ,1,-0.0002702598194895625,0.003865270864040939,0.0030998961772248715,0.9533333333333334,0.04666666666666667,450
SPJ,2,-0.00023999091643210556,0.003872350846164475,0.0031324552641553323,0.96,0.04,450
SPJ,3,-0.00024501712753756107,0.00393100007991818,0.003195732770444137,0.9533333333333334,0.04666666666666667,450
SPJ,4,-0.00031820384884309675,0.003997037797741221,0.0032597723848864363,0.9577777777777777,0.042222222222222223,450
SPJ,5,-0.00036008618547843564,0.004059354853698136,0.0032652265734161457,0.96,0.04,450
SPJ,6,-0.00030350154739167064,0.0040404381198488265,0.0032226916416462034,0.9555555555555556,0.044444444444444446,450
SPJ,7,-0.00017104139268582868,0.004095738341959614,0.0032588168823011318,0.9577777777777777,0.042222222222222223,450
SPJ,8,-0.000187995345203474,0.004154432571017815,0.003341934482475779,0.9644444444444444,0.035555555555555556,450
SPJ,9,-0.00015521917252889103,0.004197330185825966,0.003343695396686217,0.9688888888888889,0.03111111111111111,450
SPJ,10,-0.0001113610988412251,0.004271450543834338,0.00337738898821698,0.9711111111111111,0.028888888888888888,450
