est,h,bias,rmse,mae,coverage,rej_rate,n
CDOLS,0,0.0006177786410560216,0.026578595612191086,0.021267069539814117,0.9233333333333333,1.0,300
CDOLS,1,-0.010516392658747611,0.06655427513907769,0.05328148562837468,0.43,1.0,300
CDOLS,2,-0.012975002646938277,0.07113642545687797,0.057073545345663786,0.41,0.95,300
CDOLS,3,-0.014558846617123112,0.079030867390515,0.06334688047305084,0.4166666666666667,0.77,300
CDOLS,4,-0.0142563814448454,0.07990519791533356,0.06273749017072508,0.45,0.6633333333333333,300
CDOLS,5,-0.014798156387133918,0.08192420205527803,0.06526718512397552,0.43666666666666665,0.5933333333333334,300
CDOLS,6,-0.028640113076342236,0.08767228027948731,0.06952196206850379,0.47,0.5733333333333334,300
DB,0,0.0003541903499034867,0.018696919627255993,0.014967859920469898,0.7833333333333333,1.0,300
DB,1,0.017909362373775026,0.061332109498764074,0.051222919830272357,0.46,1.0,300
DB,2,0.030460409086295447,0.07731944102677289,0.06277408162621081,0.44333333333333336,0.86,300
DB,3,0.035282401451965095,0.0842533308249187,0.06713088097809007,0.44,0.5666666666666667,300
DB,4,0.03722556474779661,0.08201027623153945,0.06661133420987884,0.44,0.49333333333333335,300
DB,5,0.03242150280181912,0.08275082910970212,0.06750776256235382,0.43333333333333335,0.52,300
DB,6,0.01883092464403574,0.08529995604454103,0.06723086413416021,0.44666666666666666,0.5233333333333333,300
FE,0,0.0003541903499034867,0.018696919627255993,0.014967859920469898,0.7833333333333333,1.0,300
FE,1,0.05823763225024012,0.0811093006801158,0.06824720372052707,0.35,1.0,300
FE,2,0.08744084065283962,0.11014030213320473,0.09535461086348584,0.25333333333333335,0.61,300
FE,3,0.09871648506302419,0.12344328356977093,0.10420252187486831,0.23666666666666666,0.5133333333333333,300
FE,4,0.1020685364521795,0.12541240008443477,0.10696817272773042,0.22666666666666666,0.6533333333333333,300
FE,5,0.09553277043662854,0.1223668566568406,0.10329897687907423,0.2633333333333333,0.6666666666666666,300
FE,6,0.077561479677236,0.11488585891746293,0.093536768298445,0.31666666666666665,0.6466666666666666,300
HPJ,0,0.0028109644776479563,0.04922750987765376,0.03947036347588742,0.3333333333333333,1.0,300
HPJ,1,0.05858339411019519,0.09036607194365476,0.07389291546804126,0.34,0.9966666666666667,300
HPJ,2,0.08650087052520067,0.11431422244591787,0.09637458513697417,0.24333333333333335,0.64,300
HPJ,3,0.0998513831276623,0.13165797585200473,0.10848693397518024,0.2733333333333333,0.5866666666666667,300
HPJ,4,0.10354193970776068,0.13438221730309993,0.1129387419508258,0.22666666666666666,0.62,300
HPJ,5,0.09788820598890875,0.12965710603081443,0.10944081858923851,0.23,0.6866666666666666,300
HPJ,6,0.07709235419672597,0.1214638088796286,0.09837050374620437,0.33666666666666667,0.6333333333333333,300
SPJ,0,0.0006068206395560552,0.01877220057107573,0.014943557468295223,0.8533333333333334,1.0,300
SPJ,1,0.0014781129024357127,0.06969907197170573,0.056065347804418054,0.5333333333333333,1.0,300
SPJ,2,0.015555991514863846,0.09206004995219703,0.07267376280706314,0.4633333333333333,0.8366666666666667,300
SPJ,3,0.032574102035395146,0.10614606420825168,0.08519428312570392,0.4033333333333333,0.53,300
SPJ,4,0.05504608612719147,0.11490258256845444,0.09440073376464465,0.35,0.5366666666666666,300
SPJ,5,0.07812499751032685,0.1262088698562358,0.10306441148372814,0.3433333333333333,0.6033333333333334,300
SPJ,6,0.09917391929477692,0.1478400019520647,0.11530101586719614,0.33666666666666667,0.6366666666666667,300
