est,h,bias,rmse,mae,coverage,rej_rate,n
CDOLS,0,0.00466606861585416,0.07941661435187376,0.06359124904667221,0.9133333333333333,1.0,300
CDOLS,1,-0.005900167584989104,0.09077741048009741,0.07138750698273139,0.7933333333333333,0.9766666666666667,300
CDOLS,2,-0.018796286844825177,0.10305097606318638,0.08451460289209324,0.7633333333333333,0.6233333333333333,300
CDOLS,3,-0.017437485800478693,0.09989993696566374,0.07881054160447078,0.7733333333333333,0.36666666666666664,300
CDOLS,4,-0.02792160406096861,0.10480222369502597,0.08373999233866523,0.79,0.25333333333333335,300
CDOLS,5,-0.009435654586836631,0.10523228229352627,0.08403496157560167,0.8233333333333334,0.19333333333333333,300
CDOLS,6,-0.014853756831281918,0.12216852296445559,0.09667723471746964,0.76,0.23333333333333334,300
DB,0,0.003743286947532521,0.05592825114275793,0.044427329784008256,0.7733333333333333,1.0,300
DB,1,0.013484743147052388,0.07924337509724301,0.06205360848757286,0.8733333333333333,0.95,300
DB,2,0.01590824743915972,0.09484953984562455,0.07610733976092988,0.8533333333333334,0.43666666666666665,300
DB,3,0.02459964664444947,0.09742202771810834,0.0762543705672198,0.8433333333333334,0.17,300
DB,4,0.027505688917763286,0.10172762360850329,0.08126701950142066,0.8233333333333334,0.14666666666666667,300
DB,5,0.03957449676644684,0.10687034893862254,0.08483633958491674,0.8466666666666667,0.12333333333333334,300
DB,6,0.030538241749718024,0.11449531284199493,0.0897789611077977,0.7933333333333333,0.19333333333333333,300
FE,0,0.003743286947532521,0.05592825114275793,0.044427329784008256,0.7733333333333333,1.0,300
FE,1,0.05376525882857339,0.09258992560096972,0.07417842920827576,0.84,0.8933333333333333,300
FE,2,0.0731330205818064,0.11484272609054319,0.09573709267061442,0.73,0.26,300
FE,3,0.08864870961446825,0.12560413230008569,0.1070133588848923,0.7233333333333334,0.11333333333333333,300
FE,4,0.0932545661098594,0.13248864880193587,0.10956038806997666,0.66,0.21,300
FE,5,0.10376204773281639,0.14275846189741084,0.11975570118602052,0.6366666666666667,0.30333333333333334,300
FE,6,0.09039266527976327,0.14306252712802525,0.11510424513757277,0.7033333333333334,0.2733333333333333,300
HPJ,0,0.0067204106799151845,0.17325035831788138,0.1405116695089942,0.2733333333333333,1.0,300
HPJ,1,0.05917209698321737,0.15867285889666025,0.12247155117565221,0.65,0.78,300
HPJ,2,0.0800935465493961,0.1883404042192672,0.14547229679148438,0.6133333333333333,0.4533333333333333,300
HPJ,3,0.09071233490829571,0.19346453342302933,0.15543259275008942,0.5433333333333333,0.41,300
HPJ,4,0.0829912913283478,0.1906712797762073,0.1510375613166765,0.5266666666666666,0.4266666666666667,300
HPJ,5,0.09688531484712692,0.20481652844733142,0.16180025646492643,0.5166666666666667,0.44333333333333336,300
HPJ,6,0.07273937771389512,0.21403236679871387,0.17428022783594818,0.51,0.47333333333333333,300
SPJ,0,0.0039489577584991215,0.058364412149681216,0.046504055377183884,0.81,1.0,300
SPJ,1,-0.004290859267738057,0.09827602169197862,0.07283189216323419,0.91,0.9266666666666666,300
SPJ,2,0.002690896616575087,0.12122503976987258,0.0906743158568314,0.87,0.36666666666666664,300
SPJ,3,0.02520287321162205,0.12905424329363094,0.09925445525789832,0.86,0.13,300
SPJ,4,0.04753590206487619,0.1394077517588748,0.11250119271644124,0.7633333333333333,0.15666666666666668,300
SPJ,5,0.08619023399868443,0.153484417177873,0.1257998714354463,0.72,0.21333333333333335,300
SPJ,6,0.1107237844208521,0.17794626335412372,0.14265264557706628,0.6833333333333333,0.2966666666666667,300
