ccode,year,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1y,L1D1y,L2D1y,L3D1y,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y
724,1885,-0.021676211,-0.035695966,0.0040233135,0.0017014786,0.0022564367,0.024748556,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026983723,0.0027438577,0.022260871,0.012881333,,,,
724,1886,-0.014019757,0.025699522,0.023377687,0.023932645,0.046424765,0.11874148,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021676211,-0.026983723,0.0027438577,0.022260871,,,,
724,1887,0.03971928,0.037397444,0.037952401,0.060444519,0.13276124,0.097125724,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014019757,-0.021676211,-0.026983723,0.0027438577,,,,
724,1888,-0.0023218349,-0.0017668767,0.020725243,0.093041964,0.057406452,0.068522014,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03971928,-0.014019757,-0.021676211,-0.026983723,,,,
724,1889,0.00055495824,0.023047078,0.095363796,0.059728283,0.070843846,0.062046088,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023218349,0.03971928,-0.014019757,-0.021676211,,,,
724,1890,0.02249212,0.094808839,0.059173327,0.070288889,0.061491132,-0.021555953,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00055495824,-0.0023218349,0.03971928,-0.014019757,,,,
724,1891,0.072316721,0.036681209,0.047796767,0.03899901,-0.044048075,0.0055448674,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02249212,0.00055495824,-0.0023218349,0.03971928,,,,
724,1892,-0.035635512,-0.024519954,-0.033317711,-0.11636479,-0.06677185,0.0074781999,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.072316721,0.02249212,0.00055495824,-0.0023218349,,,,
724,1893,0.011115559,0.0023178011,-0.080729283,-0.031136341,0.043113708,0.059014171,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035635512,0.072316721,0.02249212,0.00055495824,,,,
724,1894,-0.0087977583,-0.091844842,-0.0422519,0.03199815,0.047898613,0.069447428,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.011115559,-0.035635512,0.072316721,0.02249212,,,,
724,1895,-0.083047085,-0.033454143,0.040795907,0.05669637,0.078245185,0.1454957,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0087977583,0.011115559,-0.035635512,0.072316721,,,,
