h,outcome,beta,se,lo,hi
1,Fd1y,-2.8506264125924403,0.58221935995242,-3.991776358099184,-1.709476467085697
2,Fd2y,-3.3338840587445233,0.937146851337064,-5.170691887365169,-1.497076230123878
3,Fd3y,-3.858172653590327,1.1321387042141946,-6.077164513850148,-1.6391807933305054
4,Fd4y,-4.213259334339428,1.3783216914583958,-6.914769849597883,-1.5117488190809723
5,Fd5y,-3.7562477316905354,1.5797961290721234,-6.852648144671898,-0.6598473187091733
6,Fd6y,-2.987041100508189,1.800071773356401,-6.515181776286735,0.5410995752703567
